Comment,Designator,Footprint,LCSC,Quantity
100k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,1
100nF,"C11,C12,C17,C18,C19,C2,C20,C22,C23,C34,C35,C37,C39,C4,C41,C47,C48,C49,C5,C50,C51,C52,C54,C55,C6,C7,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,27
100uF,"C30,C31",CP_EIA-3528-15_AVX-H_HandSolder,C16133,2
10k,"R12,R13,R14,R23,R24,R25,R26,R27,R28,R29,R3,R4,R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,14
10nF,"C3,C43,C44,C45,C46",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C97905,5
10uF,"C33,C36,C40",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
1N5819WS,D1,D_SOD-323,C191023,1
1uF,"C1,C10,C13,C14,C15,C16,C21,C24,C25,C26,C27,C28,C29,C32,C38,C42,C53,C56,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,19
20k,"R10,R11",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4328,2
220pF,"C57,C58,C59,C60",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1790,4
2T024000VX,X1,OSC-SMD_4P-L2.5-W2.0-BL_X1G0054210307,C47018486,1
2k,"R15,R16,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604,4
470,"R17,R18",R_0805_2012Metric,C17710,2
47k,"R19,R20,R21,R22",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,4
5.1k,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
AO3401A,Q1,SOT-23,C15127,1
AudioPlug4,J2,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,C95562,1
BAV99,D5,SOT-23,C7420336,1
BGA2817,U6,SOT-363_SC-70-6,C2654187,1
BOOT0,SW2,SW_Push_1P1T_XKB_TS-1187A,C318884,1
BWSMA-KE-P001,RF1,SMA-SMD_BWSMA-KE-P001,C496550,1
CH32V30xRxTx,U3,LQFP-64_10x10mm_P0.5mm,C5187529,1
FPC-05F-18PH20,FPC1,FPC-SMD_18P-P0.50_FPC-05F-18PH20,C2856802,1
GZ2012D601TF,"FB1,FB2,FB3,FB4,FB5",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C1017,5
JST PH S2B,J4,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C7433648,1
LED,D2,LED_0805_2012Metric,C2297,1
LED,"D3,D4",LED1206-RD_RED_XL-3216SURC-FB,C3646941,2
LM4809,U8,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C5125075,1
MD57E33QC3,"U4,U5",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C920562,2
MST-22D18G4-WT,SW3,SW-SMD_MST-22D18G4-WT,C7507448,1
RST,SW1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
SN74CBTLV3253,U1,SOIC-16_3.9x9.9mm_P1.27mm,C543079,1
Si5351A-B-GT,Y1,MSOP-10_3x3mm_P0.5mm,C1509083,1
TF-018B-H15,TF1,TF-SMD_TF-018B-H15,C2962372,1
TP4054,U7,TSOT-23-5,C32574,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
RotaryEncoder_Switch,SW4,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,,1
TestPoint,TP20,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP16,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP12,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP10,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP7,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP17,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP4,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP6,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP22,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP9,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP18,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP13,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP11,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP21,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP15,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP14,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP5,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP19,TestPoint_Pad_1.0x1.0mm,,1
