Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.42556,-92.745507,90.0,top
C10,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.559472,-60.677605,0.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.212303,-72.670801,-135.0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.328587,-75.877345,0.0,top
C13,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.767904,-99.695077,-90.0,top
C14,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.25,-99.75,-90.0,top
C15,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.641014,-79.561201,180.0,top
C16,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.0,-98.0375,90.0,top
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.90692,-71.653012,180.0,top
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.575552,-78.585938,-90.0,top
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.5125,-97.5,180.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,72.983423,-101.195075,-90.0,top
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.056961,-97.536066,0.0,top
C21,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.075129,-56.370329,90.0,top
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.204307,-49.969148,-90.0,top
C23,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.898339,-90.771671,-90.0,top
C24,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.15,-58.0625,-90.0,top
C25,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88.424503,-52.843766,180.0,top
C26,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.25,-58.1,-90.0,top
C27,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.179427,-48.789092,0.0,top
C28,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.343446,-98.340522,180.0,top
C29,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.075129,-48.370329,90.0,top
